channelName,subscribers,views,totalVideos,playlistId
CNN TÜRK,1500000,1557196727,50197,UUV6zcRug6Hqp1UX_FdyUeBg
FOX Haber,668000,336911533,28283,UUbq0bGdShXK5dMzEDU7nThA
BBC News Türkçe,895000,304686337,4731,UUeMQiXmFNTtN3OHlNJxnnUw
A Haber,645000,372731926,34010,UUKQhfw-lzz0uKnE1fY1PsAA
Cüneyt Özdemir,1480000,418761468,4687,UUkwHQ7DWv9aqEtvAOSO74dQ
TRT Haber,896000,464104214,24467,UUBgTP2LOFVPmq15W-RH-WXA
Yeni Şafak,566000,398883631,2207,UUClO1RgRkaOcC9cLj-bLuEw
BaBaLa TV,3960000,468938204,355,UUZ5aOEWFOopXLeiIUd2mfJw
Anadolu Ajansı,541000,345572227,16116,UUVbZYhcirOke2vipxs4lT2w
TV100,1110000,804656528,29804,UUndsdUW_oPLqpQJY9J8oIRg
Habertürk,233000,179260141,9183,UUlGZC_r-sUcBdElAtDSrQ5g
SÖZCÜ Televizyonu,337000,18091525,631,UUOulx_rep5O4i9y6AyDqVvw
