channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
A Haber,Başkan Erdoğan 11 Nisan'da ne açıklayacak? Konuklar değerlendirdi,2023-03-27 22:30:01+00:00,177,10,0,Monday,881.0,Mar,2023,14.68,0.24
A Haber,İnce'ye imza veren başörtülü kadınlar neden hedef alındı? Konuklardan değerlendirdi,2023-03-27 22:00:23+00:00,364,22,0,Monday,1095.0,Mar,2023,18.25,0.3
A Haber,"Tarafsız habercilik bu mu? FOX TV ""kadın hakları"" üzerinden neden çarpıtma yapıyor?",2023-03-27 21:30:00+00:00,435,30,0,Monday,904.0,Mar,2023,15.07,0.25
A Haber,"""Tarafsızlık"" söylemini kim, nasıl aparat olarak kullanıyor? Konuklar tartıştı",2023-03-27 21:00:12+00:00,164,9,0,Monday,589.0,Mar,2023,9.82,0.16
A Haber,Seçime günler kala ittifakların son hamleleri neler? Konuklardan dikkat çeken açıklamalar,2023-03-27 20:30:00+00:00,674,45,0,Monday,1344.0,Mar,2023,22.4,0.37
A Haber,Ankara kulislerinden sıcak bilgiler... Şebnem Bursalı gelişmeleri değerlendirdi,2023-03-27 20:00:04+00:00,537,42,9,Monday,845.0,Mar,2023,14.08,0.23
A Haber,"CHP, İnce'ye neden ""çekil"" baskısı yapıyor? Abdurrahman Babacan değerlendirdi",2023-03-27 19:30:02+00:00,1222,43,0,Monday,578.0,Mar,2023,9.63,0.16
A Haber,Bu kez de İngiltere-Rusya arasında gerginlik çıktı! İngiliz savaş uçaklarına Rusya'dan füzeli tehdit,2023-03-27 19:00:02+00:00,1427,52,7,Monday,152.0,Mar,2023,2.53,0.04
A Haber,ABD'de hortum felaketi kasabayı yıktı geçti! Felakette 26 kişi hayatını kaybetti,2023-03-27 18:30:40+00:00,705,19,0,Monday,106.0,Mar,2023,1.77,0.03
A Haber,"TOKİ, Elazığ depreminde konutları hızla inşa etti",2023-03-27 18:14:24+00:00,413,18,0,Monday,286.0,Mar,2023,4.77,0.08
A Haber,Prim borcu olanlar dikkat! Genel Sağlık Sigortası borçları yapılandırılıyor,2023-03-27 18:00:00+00:00,1549,7,5,Monday,101.0,Mar,2023,1.68,0.03
A Haber,Bayram ikramiyesi EYT'lileri de kapsayacak! İşte en düşük emekli maaşının maliyeti,2023-03-27 17:30:00+00:00,3768,44,16,Monday,168.0,Mar,2023,2.8,0.05
A Haber,Eylem hazırlığındaki terörist yakalandı! Teröristin HDP binasına girişi kameralara böyle yansıdı,2023-03-27 17:27:50+00:00,48481,1388,330,Monday,229.0,Mar,2023,3.82,0.06
A Haber,"Başkan Erdoğan: Gittiğimiz her yerde herkes ""Başkanım bizi bunlara bırakmayın"" diyor",2023-03-27 16:55:25+00:00,1666,68,5,Monday,671.0,Mar,2023,11.18,0.19
A Haber,"Silivri TEM'de feci tır kazası: 6 ölü, 3 yaralı",2023-03-27 16:27:19+00:00,1332,13,2,Monday,131.0,Mar,2023,2.18,0.04
A Haber,Başkan Erdoğan Adıyaman'da konuştu: 1 yıl içinde 319 bin konutu teslim etmekte kararlıyız!,2023-03-27 16:00:39+00:00,4038,153,34,Monday,2055.0,Mar,2023,34.25,0.57
A Haber,TOGG ön sipariş alımına bugün saat 22'ye kadar devam edilecek,2023-03-27 15:30:08+00:00,826,63,7,Monday,154.0,Mar,2023,2.57,0.04
A Haber,Fransa Senatosu'nda YPG'lilere madalya verilmesi üzerine Fransa Büyükelçisi Dışişleri'ne çağrıldı,2023-03-27 15:00:12+00:00,689,54,0,Monday,110.0,Mar,2023,1.83,0.03
A Haber,Muharrem İnce'den CHP'ye FETÖ göndermesi: FETÖ'cülerden çok şey öğrenmişler,2023-03-27 13:31:04+00:00,23225,479,116,Monday,134.0,Mar,2023,2.23,0.04
A Haber,Karadeniz'de aktif fay hattı var mı? Deprem riski ne kadar? Uzman isim yanıtladı,2023-03-27 13:02:46+00:00,576,15,0,Monday,256.0,Mar,2023,4.27,0.07
A Haber,İstanbul'da geri dönüşüm kutusuna girerek atıkları böyle çaldı,2023-03-27 11:59:15+00:00,989,17,0,Monday,47.0,Mar,2023,0.78,0.01
A Haber,Hatay'ın su sorunu çözüldü! 11 ilçeye su verildi,2023-03-27 10:06:43+00:00,540,15,1,Monday,240.0,Mar,2023,4.0,0.07
A Haber,Emeklide taban maaş ve ikramiye nasıl uygulanacak? Faruk Erdem cevapladı,2023-03-27 09:35:48+00:00,21203,125,93,Monday,343.0,Mar,2023,5.72,0.1
A Haber,Fransa YPG’li teröristlere onur madalyası taktı! Fransa neyi amaçlıyor? Uzman isim yanıtladı,2023-03-27 09:21:49+00:00,1344,59,7,Monday,248.0,Mar,2023,4.13,0.07
A Haber,14 Mayıs seçim anketlerinde kim önde? Ali İhsan Yavuz açıkladı: Erdoğan'ın oyu yüzde 50'nin üzerinde,2023-03-27 08:02:22+00:00,3239,54,15,Monday,137.0,Mar,2023,2.28,0.04
A Haber,Fatih Erbakan: Saadet Partisi milli görüşü temsil edemez,2023-03-27 07:56:32+00:00,4211,157,45,Monday,72.0,Mar,2023,1.2,0.02
A Haber,İsrail’de iç savaşın ayak sesleri! Polis ve asker kontrolü kaybetti,2023-03-27 07:36:52+00:00,3724,91,11,Monday,99.0,Mar,2023,1.65,0.03
A Haber,Yunan spikerden Kemal Kılıçdaroğlu itirafı: Muhalefet kazanırsa F-16 almamıza gerek yok,2023-03-27 07:26:19+00:00,9798,297,67,Monday,74.0,Mar,2023,1.23,0.02
A Haber,Küreselciler 14 Mayıs'tan nasıl bir sonuç bekliyor? Konuklardan dikkat çeken açıklamalar,2023-03-27 00:15:00+00:00,1109,38,2,Monday,1533.0,Mar,2023,25.55,0.43
A Haber,Twitter'dan psikolojik harp! Twitter'ın algoritmasında neden yaklaşan seçimler hedefte?,2023-03-26 23:45:02+00:00,478,19,6,Sunday,608.0,Mar,2023,10.13,0.17
A Haber,Adaylar ve partiler hangi stratejiyle sahada olacak? Konuklar tartıştı,2023-03-26 23:15:01+00:00,948,34,3,Sunday,903.0,Mar,2023,15.05,0.25
A Haber,Başkan Erdoğan'ı engelleme girişimi mi? Konuklardan dikkat çeken açıklamalar,2023-03-26 22:45:00+00:00,5227,127,26,Sunday,915.0,Mar,2023,15.25,0.25
A Haber,Yeniden Refah Partisi ile nasıl anlaşma sağlandı? Konuklar değerlendirdi,2023-03-26 22:15:00+00:00,4945,136,16,Sunday,1152.0,Mar,2023,19.2,0.32
A Haber,Kılıçdaroğlu'nun Muharrem İnce planı ne? Konuklardan dikkat çeken açıklamalar,2023-03-26 21:45:00+00:00,999,29,3,Sunday,575.0,Mar,2023,9.58,0.16
A Haber,"İYİ Partili Ağıralioğlu, oyunu Kılıçdaroğlu'na verecek mi, vermeyecek mi?",2023-03-26 21:15:00+00:00,1625,41,11,Sunday,830.0,Mar,2023,13.83,0.23
A Haber,Bakan Bilgin duyurdu! Gazi maaşları asgari ücret düzeyine çıkarılacak,2023-03-26 21:08:10+00:00,7703,52,24,Sunday,90.0,Mar,2023,1.5,0.02
A Haber,HDP neden Kılıçdaroğlu dedi? Konuklardan dikkat çeken açıklamalar,2023-03-26 20:45:02+00:00,1033,29,2,Sunday,1062.0,Mar,2023,17.7,0.3
A Haber,HDP başından beri 6'lı koalisyonun içinde miydi? Konuklar tartıştı,2023-03-26 20:15:01+00:00,965,27,9,Sunday,539.0,Mar,2023,8.98,0.15
A Haber,YSK'da seçim mesaisi sürüyor! Hangi aday kaç imza topladı?,2023-03-26 19:45:00+00:00,1512,26,14,Sunday,222.0,Mar,2023,3.7,0.06
A Haber,Altın fiyatlarında yükseliş sürecek mi? Finans uzmanı İslam Memiş yanıtladı,2023-03-26 19:15:00+00:00,7837,78,4,Sunday,332.0,Mar,2023,5.53,0.09
A Haber,"Müjdeyi Savunma Başkanı Demir verdi! Yerli baz istasyonu ULAK, ANKA İHA'ya entegre edildi",2023-03-26 18:45:01+00:00,3988,140,9,Sunday,96.0,Mar,2023,1.6,0.03
A Haber,Çalışan EYT'liler dikkat! Hem Nisan maaşı hem bayram ikramiyesi için başvuruda son 1 hafta!,2023-03-26 18:15:01+00:00,46368,109,28,Sunday,148.0,Mar,2023,2.47,0.04
A Haber,Bahçeli'den HÜDA-PAR eleştirilerine yanıt: HÜDA-PAR terörü tümden reddetmiştir,2023-03-26 17:45:00+00:00,3257,153,47,Sunday,113.0,Mar,2023,1.88,0.03
A Haber,Depremzedelerle iftar buluşması... Başkan Erdoğan'dan flaş açıklamalar,2023-03-26 17:21:11+00:00,2312,66,11,Sunday,525.0,Mar,2023,8.75,0.15
