channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
BaBaLa TV,Duygu Uysal'la MESAYİ | Babala'da İşe Başlamak (1.Bölüm),2023-03-27 18:06:08+00:00,43882,5060,226,Monday,633.0,Mar,2023,10.55,0.18
BaBaLa TV,#Mentor 1. Bölüm | Depremin Çocuklar ve Ebeveynler Üzerindeki Travmatik Etkileri,2023-03-11 18:00:21+00:00,30629,1282,108,Saturday,551.0,Mar,2023,9.18,0.15
BaBaLa TV,GAZİ,2023-03-09 17:50:07+00:00,289124,19056,1525,Thursday,4657.0,Mar,2023,77.62,1.29
BaBaLa TV,Bir Gün Değil... #8Mart,2023-03-07 14:03:28+00:00,33414,2741,237,Tuesday,55.0,Mar,2023,0.92,0.02
BaBaLa TV,Her Zaman Yanınızda Olacağız,2023-02-17 18:20:03+00:00,552885,43933,2518,Friday,200.0,Feb,2023,3.33,0.06
BaBaLa TV,Olsun Be Yeni Bölümüyle Salı Akşamı Pinç Tv’de Yayında… @pinc,2023-02-04 16:21:00+00:00,288640,7803,652,Saturday,157.0,Feb,2023,2.62,0.04
BaBaLa TV,"Yiğit Penguen'le Yeni Ay | Şubat 2023, Aslan Dolunayı, Burç Yorumları",2023-01-31 18:31:44+00:00,134888,4088,1271,Tuesday,1961.0,Jan,2023,32.68,0.54
BaBaLa TV,İlker Ayrık’la Gerçekler Acıdır #12 | 1.90'lık Seda vs 2.10'luk Emre | Aldatıyor musun Beni?,2023-01-29 08:07:28+00:00,185003,4592,189,Sunday,2790.0,Jan,2023,46.5,0.78
BaBaLa TV,Mevzular Açık Mikrofon 9. Bölüm | Cumhuriyet Halk Partisi  Milletvekili Abdüllatif Şener,2023-01-26 16:57:29+00:00,6158425,77439,14018,Thursday,12373.0,Jan,2023,206.22,3.44
BaBaLa TV,"Ne Yapmak İstiyorlar? Richard I Oğuzhan Uğur, Okan Bayülgen, Yalın Alpay, Başar Akman",2023-01-21 18:00:21+00:00,319600,6577,448,Saturday,4547.0,Jan,2023,75.78,1.26
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 9. Bölüm: Abdüllatif Şener (26 Ocak Perşembe Yayında),2023-01-18 08:33:58+00:00,1770893,36478,4043,Wednesday,398.0,Jan,2023,6.63,0.11
BaBaLa TV,İlker Ayrık’la Gerçekler Acıdır #11 | Özlem vs Trakyalı Gürkan,2023-01-15 08:00:31+00:00,487584,12045,359,Sunday,2789.0,Jan,2023,46.48,0.77
BaBaLa TV,Mevzular Açık Mikrofon 8. Bölüm | Türkiye İşçi Partisi Genel Başkan Yardımcısı Barış Atay,2023-01-12 16:59:04+00:00,18328185,291418,42808,Thursday,13302.0,Jan,2023,221.7,3.7
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 8. Bölüm: Barış Atay (12 Ocak Perşembe Yayında),2023-01-07 14:27:47+00:00,2756857,58992,6776,Saturday,536.0,Jan,2023,8.93,0.15
BaBaLa TV,Gazi (Pek Yakında Yayında),2023-01-07 05:24:49+00:00,280763,16701,591,Saturday,127.0,Jan,2023,2.12,0.04
BaBaLa TV,Çok Kamp Hareketler Bunlar | Hababam'a Saygı | Babala Kamp,2023-01-01 08:00:03+00:00,1814203,43354,1999,Sunday,6661.0,Jan,2023,111.02,1.85
BaBaLa TV,Mevzular 53 - Uzman Çavuşların Hak Talebi,2022-12-19 18:37:48+00:00,601867,37349,7982,Monday,2260.0,Dec,2022,37.67,0.63
BaBaLa TV,Mevzular Açık Mikrofon 7. Bölüm | AK Parti MKYK Üyesi Metin Külünk,2022-12-05 17:01:34+00:00,7332134,160628,25745,Monday,15500.0,Dec,2022,258.33,4.31
BaBaLa TV,Mevzular Açık Mikrofon Yeni Bölümüyle Pazartesi Günü Babala Tv’de Yayında… @mevzularacikmikrofon,2022-12-03 17:03:05+00:00,755202,40079,723,Saturday,51.0,Dec,2022,0.85,0.01
BaBaLa TV,İlker Ayrık'la Efsane Hayatlar | Erdal Özyağcılar | 2. Bölüm,2022-12-02 18:00:16+00:00,303203,9216,989,Friday,2907.0,Dec,2022,48.45,0.81
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 7. Bölüm: Metin Külünk (5 Aralık Pazartesi Yayında),2022-11-29 22:03:34+00:00,1781183,48558,4989,Tuesday,418.0,Nov,2022,6.97,0.12
BaBaLa TV,7’den 70’e Herkesi Sinema Salonlarına Bekliyoruz 🍿🍿🍿 #shorts,2022-11-24 15:20:30+00:00,79282,2158,24,Thursday,59.0,Nov,2022,0.98,0.02
BaBaLa TV,Babanın Oğlu Kemal | Bir Trakyalı Galada! | Müstakbel Damat,2022-11-19 18:00:23+00:00,247737,6486,176,Saturday,793.0,Nov,2022,13.22,0.22
BaBaLa TV,İntizar - Mağusa Limanı | Müstakbel Damat Orijinal Film Müziği,2022-11-15 18:00:16+00:00,97326,2605,176,Tuesday,173.0,Nov,2022,2.88,0.05
BaBaLa TV,İlker Ayrık'la Efsane Hayatlar | Müjdat Gezen | 1. Bölüm,2022-11-08 18:00:06+00:00,458772,18963,1239,Tuesday,4014.0,Nov,2022,66.9,1.12
BaBaLa TV,"Babala Kamp | İnziva, Film, Kuru Fasulye, Menemen | Babala’da Neler Oluyor?",2022-11-06 07:00:26+00:00,345260,14945,1346,Sunday,3916.0,Nov,2022,65.27,1.09
BaBaLa TV,#MüstakbelDamat Film Müziği / #Gripin - #Dillirga / 11.11.2022'de Tüm Sinemalarda!.. #shorts,2022-10-27 09:31:20+00:00,89802,1648,19,Thursday,60.0,Oct,2022,1.0,0.02
BaBaLa TV,Gripin - Dillirga ( Müstakbel Damat Film Müziği ) Müstakbel Damat Sinemalarda!,2022-10-26 18:50:26+00:00,118590,2474,131,Wednesday,180.0,Oct,2022,3.0,0.05
BaBaLa TV,Mevzular Açık Mikrofon Özel | Sosyal Medya Yasası,2022-10-24 16:59:53+00:00,8352579,277054,20703,Monday,15315.0,Oct,2022,255.25,4.25
BaBaLa TV,Mevzular Açık Mikrofon Özel Tanıtım (Sosyal Medya Yasası),2022-10-19 19:36:40+00:00,2893372,201476,11051,Wednesday,443.0,Oct,2022,7.38,0.12
BaBaLa TV,Müstakbel Damat FRAGMAN | Sinemalarda!,2022-10-07 19:51:33+00:00,240742,4787,1580,Friday,173.0,Oct,2022,2.88,0.05
BaBaLa TV,Mevzular Açık Mikrofon 5. Bölüm | Gelecek Partisi Genel Başkanı Ahmet Davutoğlu,2022-10-06 16:59:25+00:00,7526033,139475,17547,Thursday,18885.0,Oct,2022,314.75,5.25
BaBaLa TV,Mevzular Açık Mikrofon Tanıtım I 5. Bölüm: Ahmet Davutoğlu (6 Ekim Perşembe Yayında),2022-09-27 07:29:33+00:00,2565228,79830,7977,Tuesday,574.0,Sep,2022,9.57,0.16
BaBaLa TV,Mevzular Açık Mikrofon 4. Bölüm I Genç Parti Kurucu Başkanı Cem Uzan,2022-09-22 18:07:56+00:00,9146285,172787,20304,Thursday,11526.0,Sep,2022,192.1,3.2
