channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
CNN TÜRK,"A. Selvi ve İsmail Dükel arasında sert tartışma! Selvi: ""Kadına şiddet yasasını çıkaran Erdoğan'dır""",2023-03-28 00:30:10+00:00,804,17,0,Tuesday,1172.0,Mar,2023,19.53,0.33
CNN TÜRK,"Bedri Baykam: ""Yüzde yüz kazandım diyen her siyasetçinin ben kaybettiğini gördüm""",2023-03-28 00:00:12+00:00,921,20,0,Tuesday,632.0,Mar,2023,10.53,0.18
CNN TÜRK,"Bütün ittifaklar ""Biz kazanıyoruz"" diyor, kim doğru söylüyor? Hakan Bayrakçı anlattı",2023-03-27 23:30:13+00:00,5263,83,0,Monday,1108.0,Mar,2023,18.47,0.31
CNN TÜRK,Saadet reklamında neden Ecevit ve Erbakan kullanıldı? Stüdyoda sert tartışma!,2023-03-27 23:00:12+00:00,921,17,0,Monday,1029.0,Mar,2023,17.15,0.29
CNN TÜRK,"Zafer Şahin: ""Başarılı dedikleri hükümet sadece 10 ay sürüyor!""",2023-03-27 22:30:00+00:00,1577,28,10,Monday,991.0,Mar,2023,16.52,0.28
CNN TÜRK,"İsmail Dükel, ""Her türlü Muharrem İnce kaybedenidir bu işin"" dedi ve anlattı",2023-03-27 22:00:20+00:00,2168,37,0,Monday,685.0,Mar,2023,11.42,0.19
CNN TÜRK,"H. Bayrakçı: ""Kılıçdaroğlu, İnce ona ayak bağı oluyorsa bir teklifle gidecek olmuyorsa gitmeyecek!""",2023-03-27 21:30:05+00:00,18348,294,133,Monday,1012.0,Mar,2023,16.87,0.28
CNN TÜRK,#CANLI | Ahmet Hakan ile Tarafsız Bölge | 27 Mart 2023 | #CNNTÜRK,2023-03-27 21:18:25+00:00,45521,306,30,Monday,12675.0,Mar,2023,211.25,3.52
CNN TÜRK,"Abdulkadir Selvi: ""Muharrem İnce kapıyı kapatmamış, müzakereye açık""",2023-03-27 21:00:34+00:00,2451,24,14,Monday,931.0,Mar,2023,15.52,0.26
CNN TÜRK,"Z. Şahin: ""Erdoğan'ın geçen seçimde aldığı oyun üstünde bir oy alacağını düşünüyorum""",2023-03-27 20:30:08+00:00,18065,354,122,Monday,1041.0,Mar,2023,17.35,0.29
CNN TÜRK,Ev sahibi ve kiracı hakları neler?,2023-03-27 20:00:14+00:00,1625,27,2,Monday,328.0,Mar,2023,5.47,0.09
CNN TÜRK,Antrenman sahası evleri oldu! Çadır kentte yarışmalara hazırlanıyorlar,2023-03-27 19:30:00+00:00,471,9,0,Monday,311.0,Mar,2023,5.18,0.09
CNN TÜRK,"Zincir marketlerden ""sabitleme"" müjdesi",2023-03-27 19:00:21+00:00,1410,15,10,Monday,301.0,Mar,2023,5.02,0.08
CNN TÜRK,Yatta evlilik teklifi yapıp yemek yedikten sonra kaçtılar,2023-03-27 18:30:51+00:00,2959,14,6,Monday,90.0,Mar,2023,1.5,0.02
CNN TÜRK,"Doğu Perinçek: ""Altılı masa ABD'nin açık aleti"" #Shorts",2023-03-27 18:00:01+00:00,2958,84,0,Monday,25.0,Mar,2023,0.42,0.01
CNN TÜRK,100 bin imza maratonu tamamlandı! Cumhurbaşkanlığı seçiminde yarışacak isimler netleşti,2023-03-27 17:54:45+00:00,5418,47,15,Monday,165.0,Mar,2023,2.75,0.05
CNN TÜRK,"Cumhurbaşkanı Erdoğan'dan önemli açıklamalar: ""Kentsel dönüşümde daha kararlıyız""",2023-03-27 17:36:32+00:00,1669,40,12,Monday,641.0,Mar,2023,10.68,0.18
CNN TÜRK,"Ozay Şendir: ""Netanyahu ve aşırı Yahudi iki parti, reformu çekse bile olaylar devam edecek""",2023-03-27 17:30:10+00:00,748,9,2,Monday,989.0,Mar,2023,16.48,0.27
CNN TÜRK,#CANLI | Fulya Kalfa ile Ana Haber | 27 Mart 2023 | #CNNTÜRK,2023-03-27 17:26:27+00:00,6235,36,0,Monday,6615.0,Mar,2023,110.25,1.84
CNN TÜRK,"Doğu Perinçek: ""CHP'den Atatürk kovuldu! Bunu görmemiz lazım"" #Shorts",2023-03-27 17:00:27+00:00,3130,98,3,Monday,60.0,Mar,2023,1.0,0.02
CNN TÜRK,"Murat Sarı: ""Bu topraklarda, bu coğrafyada Amerika hiçbir şeyde başarılı olamaz""",2023-03-27 16:30:15+00:00,1043,11,5,Monday,1132.0,Mar,2023,18.87,0.31
CNN TÜRK,"Cumhurbaşkanı Erdoğan: ""Bay Kemal senin 11 büyükşehir belediyen var, Adıyaman'a ulaştılar mı?""",2023-03-27 15:55:41+00:00,25526,444,184,Monday,2059.0,Mar,2023,34.32,0.57
CNN TÜRK,#CANLI | Büşra Arslantaş ile Günlük | 27 Mart 2023 | #CNNTÜRK,2023-03-27 15:40:45+00:00,3701,28,1,Monday,8390.0,Mar,2023,139.83,2.33
CNN TÜRK,Yeni konutların temeli atılıyor! Bakan Kurum ve Bakan Karaismailoğlu konuştu,2023-03-27 15:17:17+00:00,3059,106,16,Monday,633.0,Mar,2023,10.55,0.18
CNN TÜRK,"Silivri'de tır, seyir halindeki araçlara böyle çarptı",2023-03-27 15:00:02+00:00,12312,107,25,Monday,371.0,Mar,2023,6.18,0.1
CNN TÜRK,"Eray Güçlüer: ""Seçmen davranışlarını değiştirecek bazı STK'ların fonlandığını öğrendik""",2023-03-27 14:30:04+00:00,8795,110,24,Monday,1063.0,Mar,2023,17.72,0.3
CNN TÜRK,"Fulya Öztürk: ""Gezici Kültür Merkezi Tırı birçok faaliyet gerçekleştirerek çocuklara destek oluyor""",2023-03-27 14:15:00+00:00,1609,30,0,Monday,363.0,Mar,2023,6.05,0.1
CNN TÜRK,Son dakika! Fransa’nın Ankara Büyükelçisi Dışişleri Bakanlığı’na çağrıldı,2023-03-27 13:49:46+00:00,2751,39,6,Monday,38.0,Mar,2023,0.63,0.01
CNN TÜRK,"Kızılay Başkanı Kerem Kınık, ""Bağıştan haberim yoktu, olsaydı vermezdik"" açıklamasında bulundu",2023-03-27 13:32:40+00:00,1345,14,14,Monday,222.0,Mar,2023,3.7,0.06
CNN TÜRK,"Ferhat Murat: ""Güçlendirilmiş Cumhurbaşkanı Yardımcılığı sistemine evirmiş durumda Millet İttifakı""",2023-03-27 13:30:06+00:00,5489,69,0,Monday,1620.0,Mar,2023,27.0,0.45
CNN TÜRK,İsrail savaş alanına döndü,2023-03-27 13:15:00+00:00,2442,46,10,Monday,152.0,Mar,2023,2.53,0.04
CNN TÜRK,#CANLI | Meltem Bozbeyoğlu ile Bugün | 27 Mart 2023 | #CNNTÜRK,2023-03-27 13:14:14+00:00,3242,23,0,Monday,5895.0,Mar,2023,98.25,1.64
CNN TÜRK,TEM Silivri'de kaza: Son gelişmelere göre 5 kişi hayatını kaybetti,2023-03-27 13:12:57+00:00,5778,24,25,Monday,479.0,Mar,2023,7.98,0.13
CNN TÜRK,"Murat Sarı: ""Sosyal medyada hiç olmayacak isimlerin anketlerde %50 oy aldığını görüyorum""",2023-03-27 13:00:11+00:00,18144,55,17,Monday,863.0,Mar,2023,14.38,0.24
CNN TÜRK,"Şendir: ""CHP'nin İnce'ye sunabileceği Cumhurbaşkanı Yardımcılığı veya Milli Eğitim Bakanlığı'dır""",2023-03-27 12:30:00+00:00,3591,33,17,Monday,1231.0,Mar,2023,20.52,0.34
CNN TÜRK,"Ferhat Murat: ""Elektronik sistemde oy toplayamayanlar güvenlik açısından algı yaratabilir""",2023-03-27 12:00:22+00:00,753,8,0,Monday,766.0,Mar,2023,12.77,0.21
CNN TÜRK,24 kentte kar alarmı! Soğuk hava geri mi geliyor? Prof. Dr. Orhan Şen aktardı,2023-03-27 11:45:00+00:00,3635,20,3,Monday,369.0,Mar,2023,6.15,0.1
