channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
Erk Acarer,Bu İşin Şakası Yok / Kadınların Son Seçimi Olabilir!,2023-03-26 20:07:26+00:00,34138,3850,188,Sunday,1963.0,Mar,2023,32.72,0.55
Erk Acarer,14 Mayıs'ta ne olacak biliyor musunuz?,2023-03-25 19:04:14+00:00,81092,4789,300,Saturday,266.0,Mar,2023,4.43,0.07
Erk Acarer,"Türkiye, Bu Çukura Düşer mi? Turhan ÇÖMEZ Cevaplıyor",2023-03-24 20:56:23+00:00,38958,3075,194,Friday,4174.0,Mar,2023,69.57,1.16
Erk Acarer,Sarayın gizli ortakları,2023-03-20 17:39:37+00:00,20496,2138,60,Monday,267.0,Mar,2023,4.45,0.07
Erk Acarer,Fedaisi de Sattı! Kaç Hasan Kaç,2023-03-19 19:32:46+00:00,152311,9581,415,Sunday,1678.0,Mar,2023,27.97,0.47
Erk Acarer,"""BABA DİYE SESLENMESEYDİ; ÖLDÜRÜLMEYECEKTİ!",2023-03-18 20:06:47+00:00,59080,2045,156,Saturday,502.0,Mar,2023,8.37,0.14
Erk Acarer,Bu Rahatlık Korkutuyor! / Özel Yayın,2023-03-16 21:35:05+00:00,161097,5899,496,Thursday,4979.0,Mar,2023,82.98,1.38
Erk Acarer,"Bu bilgiler kesindir! Yol bitti! Kimi Uçakla, Kimi Yatla Kaçacak!",2023-03-13 19:00:09+00:00,266826,10311,1094,Monday,517.0,Mar,2023,8.62,0.14
Erk Acarer,Kızılay’ı esir alan aile,2023-03-13 08:35:32+00:00,11692,1232,71,Monday,221.0,Mar,2023,3.68,0.06
Erk Acarer,"Domuzbağı, Gladio, Mafya, Cemaat! / Cumhur'un Hayali ve Fidan'ın Uzun Geceleri",2023-03-12 20:15:52+00:00,58747,6257,279,Sunday,2114.0,Mar,2023,35.23,0.59
Erk Acarer,Peker'le Konuştum! Paylaşım Yapacak mı?,2023-03-09 20:44:42+00:00,200980,9409,726,Thursday,3566.0,Mar,2023,59.43,0.99
Erk Acarer,İktidar Ortağı Uyuşturucu Çeteleri de Korku İçinde!,2023-03-08 18:00:04+00:00,26752,1850,71,Wednesday,337.0,Mar,2023,5.62,0.09
Erk Acarer,Siyaset Molası Bitti! Nerede Kalmıştık?,2023-03-07 21:00:21+00:00,27626,2406,76,Tuesday,2950.0,Mar,2023,49.17,0.82
Erk Acarer,Büyük Hengamenin Kaybedenler Kulübü,2023-03-06 20:02:04+00:00,71100,6521,353,Monday,1670.0,Mar,2023,27.83,0.46
Erk Acarer,"Zamanlaması Manidar! Meğer Erdoğan'ın Rahatlığı, Akşener'in Rahatsızlığıymış",2023-03-03 20:13:48+00:00,70018,5560,612,Friday,1783.0,Mar,2023,29.72,0.5
Erk Acarer,Kulüpleri Kimler Yönetiyor? İhale Şampiyonu Başkan!,2023-03-01 20:16:48+00:00,35391,2229,174,Wednesday,1054.0,Mar,2023,17.57,0.29
Erk Acarer,KAOS PLANLARI TERS TEPİYOR!,2023-02-28 20:16:40+00:00,21416,2100,83,Tuesday,137.0,Feb,2023,2.28,0.04
Erk Acarer,"Kızılay Yok, Binali Çetesi Var!",2023-02-26 19:54:59+00:00,123146,9067,695,Sunday,1310.0,Feb,2023,21.83,0.36
Erk Acarer,Yeni Belgelerle Açıklıyorum: Katilin Bütün Ortakları! Şimdi Sırada Kim Var?,2023-02-25 21:12:28+00:00,56197,5085,250,Saturday,3812.0,Feb,2023,63.53,1.06
Erk Acarer,Türkiye’nin en büyük mezarlığı!,2023-02-24 19:32:14+00:00,18269,1978,107,Friday,298.0,Feb,2023,4.97,0.08
Erk Acarer,Bir Cinayetin Anatomisi!,2023-02-23 20:45:04+00:00,48388,4264,175,Thursday,2183.0,Feb,2023,36.38,0.61
Erk Acarer,"Depremin Kayıp Çocukları, IŞİD'den Mimli İHH'nın mı Elinde?",2023-02-22 15:48:00+00:00,17815,1491,98,Wednesday,1129.0,Feb,2023,18.82,0.31
Erk Acarer,Neler Dönüyor Bir Bilseniz! Aceleniz Hurda Satmak mı Delil Karartmak mı?,2023-02-19 20:03:54+00:00,112708,7141,316,Sunday,1609.0,Feb,2023,26.82,0.45
Erk Acarer,İstifa Cumhur İttifakına yakışmaz!,2023-02-18 17:53:54+00:00,33340,2593,144,Saturday,223.0,Feb,2023,3.72,0.06
Erk Acarer,Sadece AKP'li Vekile İş Makinası Vermek de mi Kader Planı?,2023-02-17 21:21:08+00:00,42693,2790,83,Friday,4135.0,Feb,2023,68.92,1.15
Erk Acarer,5'i Bir Yerde: Asrın Hırsızları Çaldıkları İle Bağış Yaptılar,2023-02-16 20:39:53+00:00,31239,3636,200,Thursday,1953.0,Feb,2023,32.55,0.54
Erk Acarer,Ne ararsan var! Bu neyin hazırlığı? İşte AKP'nin Kaos Planı,2023-02-16 08:51:58+00:00,92944,4890,296,Thursday,582.0,Feb,2023,9.7,0.16
Erk Acarer,İŞTE SARAYIN AFET PLANI: KOD: AKBABA / O Planı da Bozacağız,2023-02-12 20:52:23+00:00,95825,8754,495,Sunday,2157.0,Feb,2023,35.95,0.6
Erk Acarer,Bilmediğiniz çok şey var! Az Kaldı!,2023-02-11 10:19:41+00:00,71006,5152,325,Saturday,246.0,Feb,2023,4.1,0.07
Erk Acarer,Bu Görüntüyü Elon Musk Bile Silemez! Sarayda O İki Plan Konuşuldu,2023-02-09 21:44:48+00:00,105272,5534,350,Thursday,5251.0,Feb,2023,87.52,1.46
Erk Acarer,Erdoğan'a Kötü Haber!,2023-02-06 18:43:04+00:00,38798,2788,80,Monday,225.0,Feb,2023,3.75,0.06
Erk Acarer,MHP'liler de Aynı Şeyi Soruyor: Kim Bu Tony Salvatore?,2023-02-05 20:24:12+00:00,41941,3563,130,Sunday,1251.0,Feb,2023,20.85,0.35
Erk Acarer,Bu İşler AKP'nin de MHP'nin de Boyunu Aşmaya Başladı!,2023-02-02 20:37:01+00:00,86391,5263,160,Thursday,1856.0,Feb,2023,30.93,0.52
Erk Acarer,Hem Sinan Ateş Hem Sedat Peker,2023-01-29 10:27:21+00:00,27273,1619,58,Sunday,234.0,Jan,2023,3.9,0.06
Erk Acarer,"Kurtlar Vadisi Türkiye, Seçime Gün Sayıyor!",2023-01-28 22:15:05+00:00,40046,2506,70,Saturday,5281.0,Jan,2023,88.02,1.47
Erk Acarer,Devlet İçi Kavga Çok Büyük!,2023-01-26 20:37:24+00:00,78477,5982,234,Thursday,1975.0,Jan,2023,32.92,0.55
Erk Acarer,ÖZEL YAYIN: YİNE ŞOK İDDİALAR VAR! ACEMİLER VİZYONDA!,2023-01-25 17:20:18+00:00,78609,5451,165,Wednesday,2455.0,Jan,2023,40.92,0.68
Erk Acarer,"YSK SAYMAYACAK, SEÇİM DE OLMASIN!",2023-01-23 20:04:59+00:00,46007,3719,344,Monday,2285.0,Jan,2023,38.08,0.63
Erk Acarer,"Uyarıyorum, bir dahaki sefer olmayacak!",2023-01-21 17:16:39+00:00,23575,1672,109,Saturday,264.0,Jan,2023,4.4,0.07
Erk Acarer,ANKARA'DAN HABER GELECEK. BULURSAN ÖLDÜRME!,2023-01-20 19:45:10+00:00,47575,3841,98,Friday,2315.0,Jan,2023,38.58,0.64
Erk Acarer,Bunun Bir Adım Ötesi IŞİD Reklamı Yapmaktır!,2023-01-18 20:10:20+00:00,12761,1100,50,Wednesday,1011.0,Jan,2023,16.85,0.28
Erk Acarer,PEKER'DEN NAZARİ'YE: SAHİPLERİNE SÖYLE... (GÖRÜNTÜLÜ ARAMIŞ! ),2023-01-16 16:55:59+00:00,75129,1814,64,Monday,417.0,Jan,2023,6.95,0.12
Erk Acarer,Ağar ve Soylu ile Peker Arasında 2. Raund! Büyük Gözdağı: Çuvala Girecek Kelleler Var,2023-01-15 20:37:02+00:00,104682,5606,175,Sunday,1820.0,Jan,2023,30.33,0.51
Erk Acarer,Erdoğan'ın Adaylığında Son Nokta! 3 Yıl Önce Yazmıştık: Ebabil Hareketi!,2023-01-14 21:46:51+00:00,48007,2816,133,Saturday,4911.0,Jan,2023,81.85,1.36
Erk Acarer,MHP yolun sonuna geldi!,2023-01-13 18:44:58+00:00,46134,2841,164,Friday,259.0,Jan,2023,4.32,0.07
Erk Acarer,"Cinayetteki Son Nokta: PEKER ve SOYLU Olayın Neresinde? ""Türkmendağı Ekibi İşi Çözer!""",2023-01-12 20:35:17+00:00,80265,4984,185,Thursday,1856.0,Jan,2023,30.93,0.52
Erk Acarer,"Erdoğan, Sinan Ateş Cinayetini Fırsata mı Çevirecek? #sinanateş #erkacarer",2023-01-10 17:11:52+00:00,36479,1858,80,Tuesday,2106.0,Jan,2023,35.1,0.59
Erk Acarer,Sinan Ateş cinayetinin bilinmeyenleri #sinanateş #erkacarer #özgürüz #inadına,2023-01-09 16:32:57+00:00,43096,2043,103,Monday,251.0,Jan,2023,4.18,0.07
Erk Acarer,"Ankara'da Gizlenen Cinayet! Adalet Değil, Eskort Getirdi! Hakim, Kaymakam, İşadamı...",2023-01-08 20:22:01+00:00,99134,5014,235,Sunday,1082.0,Jan,2023,18.03,0.3
Erk Acarer,#Sinanateş Cinayetinde Yeni Gelişmeler! Siyasette Kartlar Yeniden Karıldı,2023-01-07 21:23:38+00:00,41593,2688,106,Saturday,4214.0,Jan,2023,70.23,1.17
Erk Acarer,"Özel Harekat Yanlarındaymış! Ateş'i, Araca Ataşehir'de Çakar Takıp Öldürmeye Gitmişler!",2023-01-05 20:18:10+00:00,91360,5044,232,Thursday,2459.0,Jan,2023,40.98,0.68
Erk Acarer,"Bakanlıkta, Ülkücü Koordinasyon Odası! #SinanAteş Cinayetiyle Ne İlgisi Var? Bu Nasıl Bir Düğüm?!",2023-01-04 07:52:22+00:00,16864,1007,45,Wednesday,314.0,Jan,2023,5.23,0.09
Erk Acarer,MHP'li #SinanATEŞ Neden Öldürüldü? Baştan Savma Bir Cinayet / Yine Hepsi Oradaydı!,2023-01-02 20:18:03+00:00,87028,6204,273,Monday,2454.0,Jan,2023,40.9,0.68
Erk Acarer,"Soylu, Sonunda AKP'yi Kendi Elleriyle Yıkacak! Peker Sussun, Kurtuluş Konuşsun İstiyor",2022-12-29 20:13:28+00:00,98613,4663,146,Thursday,2222.0,Dec,2022,37.03,0.62
Erk Acarer,İmamoğlu görevden alınacak mı?,2022-12-29 12:53:22+00:00,8820,794,31,Thursday,249.0,Dec,2022,4.15,0.07
Erk Acarer,"Masa Dağılıyor mu? Peker, Konuşacak mı?",2022-12-27 21:36:30+00:00,38335,2457,159,Tuesday,3775.0,Dec,2022,62.92,1.05
Erk Acarer,SARAYIN 4 AŞAMALI ÇOK KARANLIK PLANI,2022-12-25 20:11:15+00:00,63790,5011,235,Sunday,2030.0,Dec,2022,33.83,0.56
Erk Acarer,Kritik eşikteyiz!,2022-12-24 12:34:48+00:00,26013,1846,89,Saturday,271.0,Dec,2022,4.52,0.08
Erk Acarer,İşte Sarayın Savcısı: IŞİD Silahlarını da Suikastı da Kararttı!,2022-12-22 20:18:24+00:00,21157,2552,92,Thursday,2281.0,Dec,2022,38.02,0.63
Erk Acarer,Erk Acarer'den Kılıçdaroğlu'na: Berlin kaçıyor muydu?,2022-12-16 14:57:44+00:00,8906,717,85,Friday,247.0,Dec,2022,4.12,0.07
Erk Acarer,Saray'ın Beklediği Ölümcül Hata Ne?,2022-12-15 20:05:14+00:00,45625,3952,206,Thursday,1854.0,Dec,2022,30.9,0.52
Erk Acarer,Erdoğan'ın İmdat Butonu,2022-12-15 13:56:26+00:00,8895,760,41,Thursday,456.0,Dec,2022,7.6,0.13
