title,Year,Month,viewCount,likeCount,commentCount,durationSecs
Açık ve Net'te seçim yarışındaki son durum konuşuluyor...,2023,Mar,2217.0,7.0,0.0,0.0
Açık ve Net'te seçim yarışındaki son durum konuşuluyor...,2023,Mar,4394.0,30.0,0.0,2228.0
Muharrem İnce kimin alacağı oyları etkileyebilir? Erhan Usta yanıtladı,2023,Mar,476.0,2.0,0.0,584.0
İstanbul’da çare kentsel dönüşüm mü? Av. İsmail Doğan Subaşı yanıtladı,2023,Mar,293.0,1.0,0.0,1410.0
Doğan Subaşı Ana Haber'de soruları yanıtlıyor...,2023,Mar,3019.0,14.0,0.0,1485.0
BTP Kılıçdaroğlu’na destek verir mi? Hüseyin Baş yanıtladı,2023,Mar,2436.0,55.0,0.0,2325.0
Bağımsız Türkiye Partisi Genel Başkanı Hüseyin Baş soruları yanıtlıyor...,2023,Mar,5771.0,97.0,0.0,2345.0
İstanbul depreme nasıl hazırlanmalı? Tevfik Göksu yanıtladı,2023,Mar,332.0,4.0,7.0,1564.0
Tevfik Göksu Ana Haber'de soruları yanıtlıyor...,2023,Mar,5664.0,22.0,27.0,1561.0
Cumhurbaşkanlığı adaylığı için başvuru süreci başladı,2023,Mar,757.0,5.0,0.0,146.0
Banka Krizi ekonomiyi nasıl etkiler?  Şeref Oğuz ve Prof. Dr. Oral Erdoğan yanıtladı,2023,Mar,305.0,1.0,0.0,1274.0
Cumhurbaşkanı Erdoğan AB Destek Konferansı'nda konuştu,2023,Mar,876.0,11.0,0.0,514.0
Cumhurbaşkanı Erdoğan konuşuyor...,2023,Mar,1582.0,11.0,0.0,511.0
"Kılıçdaroğlu, TBMM'yi ziyaret etti",2023,Mar,445.0,2.0,7.0,90.0
Erbakan’ın kararı nasıl etki eder? Şükrü Küçükşahin ve Gazeteci Faruk Aksoy yanıtladı,2023,Mar,2206.0,17.0,9.0,1777.0
Yeniden Refah Başkanı Erbakan kararını açıkladı!,2023,Mar,16940.0,227.0,227.0,594.0
#CANLI - Yeniden Refah kararını açıklıyor,2023,Mar,10117.0,65.0,80.0,673.0
#CANLI - Muharrem İnce'den adaylık başvurusu,2023,Mar,85080.0,1702.0,831.0,213.0
Mısır'la normalleşmede yol haritası ne?,2023,Mar,402.0,5.0,2.0,265.0
#CANLI - TBMM'de Kılıçdaroğlu-HDP görüşmesi,2023,Mar,9295.0,80.0,99.0,906.0
"Kılıçdaroğlu, HDP ile ne konuşacak?  Prof. Dr. Yaşar Hacısallihoğlu ve Elfin Tataroğlu yanıtladı",2023,Mar,1488.0,6.0,14.0,2362.0
Seçmen karar verirken neye bakıyor? | Para Gündem - 20 Mart 2023,2023,Mar,383.0,4.0,1.0,6167.0
Yarışta hangi ittifak önde? | Açık ve Net - 19 Mart 2023,2023,Mar,1525.0,9.0,4.0,5993.0
"Atina, ABD'den 76 Amfibi aracı alıyor. Taki Berberakis aktardı",2023,Mar,462.0,2.0,5.0,186.0
14 Mayıs'ta kaç aday yarışacak? Dr. Ali Haydar Fırat yanıtladı,2023,Mar,530.0,3.0,2.0,343.0
Kılıçdaroğlu - HDP görüşmesi ne zaman? Prof. Dr. Mehmet Şahin yanıtladı,2023,Mar,552.0,4.0,6.0,461.0
Sel felaketinde son durum ne? Öznur Karslı Çetiner aktardı,2023,Mar,233.0,2.0,1.0,297.0
