channelTitle,title,publishedAt,viewCount,likeCount,commentCount,pushblishDayName,durationSecs,Month,Year,durationMins,durationHours
SÖZCÜ Televizyonu,Fuat Keyman’dan Çarpıcı HÜDAPAR Yorumu: Akşener Devreye Girmeli,2023-03-27 22:21:22+00:00,2312,38,4,Monday,666.0,Mar,2023,11.1,0.18
SÖZCÜ Televizyonu,Can Coşkun ile Gündem Masası 27 Mart Yayını,2023-03-27 22:15:30+00:00,10145,180,0,Monday,10401.0,Mar,2023,173.35,2.89
SÖZCÜ Televizyonu,"""Bu Dönemde Ben Olmamalı!"" Gaye Usluer Muharrem İnce'nin Tavrını Bu Sözlerle Eleştirdi!",2023-03-27 22:05:02+00:00,5801,118,80,Monday,528.0,Mar,2023,8.8,0.15
SÖZCÜ Televizyonu,Prof. Dr. Mithat Baydur'dan Muharrem İnce'yi Sinirlendirecek Analiz!,2023-03-27 21:40:19+00:00,16997,247,112,Monday,581.0,Mar,2023,9.68,0.16
SÖZCÜ Televizyonu,Serap Belovacıklı ile Sokağın Sözü | 27 Mart,2023-03-27 21:17:48+00:00,7318,101,0,Monday,10840.0,Mar,2023,180.67,3.01
SÖZCÜ Televizyonu,İYİ Partili Aytun Çıray Sandık Güvenliği Konusunda Uyardı: Sabıkalılar,2023-03-27 21:04:32+00:00,916,17,0,Monday,702.0,Mar,2023,11.7,0.19
SÖZCÜ Televizyonu,Anket Sonuçlarıyla Açıkladı! Muharrem İnce Seçimi Nasıl Etkileyecek?,2023-03-27 20:44:01+00:00,19237,216,254,Monday,475.0,Mar,2023,7.92,0.13
SÖZCÜ Televizyonu,Gamze Pamuk Ateşli Sinan Oğan'ın Gündem Olan HDP Sözlerini Değerlendirdi!,2023-03-27 20:05:00+00:00,4984,67,55,Monday,339.0,Mar,2023,5.65,0.09
SÖZCÜ Televizyonu,Fatih Portakal'ın 'HDP'yi Ziyaret Edecek Misiniz?' Sorusuna Sinan Oğan'dan Çarpıcı Yanıt!,2023-03-27 19:47:25+00:00,22711,408,301,Monday,224.0,Mar,2023,3.73,0.06
SÖZCÜ Televizyonu,Sinan Oğan'dan Erdoğan Kılıçdaroğlu ve Muharrem İnce'ye Açık Çağrı!,2023-03-27 19:29:17+00:00,12174,316,151,Monday,418.0,Mar,2023,6.97,0.12
SÖZCÜ Televizyonu,Sinan Oğan'dan Çok Konuşulacak YSK Açıklaması!,2023-03-27 18:48:46+00:00,26476,482,160,Monday,321.0,Mar,2023,5.35,0.09
SÖZCÜ Televizyonu,"""Daha Durun Bakalım..."" EYT'lilere Bir 'Müjde' Daha!",2023-03-27 18:06:34+00:00,18275,202,94,Monday,99.0,Mar,2023,1.65,0.03
SÖZCÜ Televizyonu,Fatih Portakal ile Sözcü Ana Haber | 27 Mart,2023-03-27 17:57:25+00:00,114007,2862,165,Monday,6272.0,Mar,2023,104.53,1.74
SÖZCÜ Televizyonu,11 Seçim Anketinin Ortalaması Alındı... Fatih Portakal Çarpıcı Sonuçları Bu Sözlerle Açıkladı,2023-03-27 17:52:12+00:00,166822,2438,900,Monday,122.0,Mar,2023,2.03,0.03
SÖZCÜ Televizyonu,"Fatih Portakal İktidara Bu Sözlerle Seslendi: İsyan Ediyorum Ya, Gerçekten İsyan Ediyorum!",2023-03-27 17:23:11+00:00,22228,535,109,Monday,419.0,Mar,2023,6.98,0.12
SÖZCÜ Televizyonu,Koray Aydın Depremde Yapılan Hataları Tek Tek Anlattı! AFAD ve Kızılay'a Çok Sert Sözler,2023-03-27 16:15:00+00:00,1182,27,5,Monday,518.0,Mar,2023,8.63,0.14
SÖZCÜ Televizyonu,Açıklamalarına Tepki Yağmıştı! Cemal Enginyurt'tan Bahçeli'ye Çok Sert HÜDA PAR Yanıtı!,2023-03-27 15:45:10+00:00,56663,1015,139,Monday,271.0,Mar,2023,4.52,0.08
SÖZCÜ Televizyonu,Erdoğan'ın Adaylığıyla İlgili Tüm Merak Edilenleri Anayasa Hukuku Uzmanı Açıkladı!,2023-03-27 15:30:13+00:00,7188,143,31,Monday,533.0,Mar,2023,8.88,0.15
SÖZCÜ Televizyonu,Cemal Enginyurt'tan Gündem Olacak Erdoğan ve HÜDA PAR Yorumu!,2023-03-27 15:00:22+00:00,5903,108,22,Monday,217.0,Mar,2023,3.62,0.06
SÖZCÜ Televizyonu,Fransa - İsrail - ABD... Üç Ülkede Kaos Var! Protestolarda Flaş Türkiye Detayı,2023-03-27 14:30:01+00:00,4117,119,29,Monday,737.0,Mar,2023,12.28,0.2
