channelName,subscribers,views,totalVideos,playlistId,subscribers_per_video,view_per_video,video_count_after,secs_count_after,mins_count_after,hours_count_after,view_count_after,like_count_after,comment_count_after,comment_per_video_after,view_per_video_after,like_per_video_after,secs_per_video_after,mins_per_video_after,hours_per_video_after,like_per_comment_after,view_per_like_after,video_count_before,view_count_before,view_per_video_before
A Haber,648000,355928460,34180,UUKQhfw-lzz0uKnE1fY1PsAA,19,10413,1326,573519,9558.6,159.1,19114422,254127,39021,29,14415,192,432.5,7.2,0.1,6.5,75.2,32854,336814038,10251.8
Anadolu Ajansı,542000,346642544,16171,UUVbZYhcirOke2vipxs4lT2w,34,21436,575,121350,2022.5,34.1,6986568,151625,7081,12,12151,264,211,3.5,0.1,21.4,46.1,15596,339655976,21778.4
BBC News Türkçe,896000,305608318,4733,UUeMQiXmFNTtN3OHlNJxnnUw,189,64570,25,15657,260.9,4.4,10257944,126528,16638,666,410318,5061,626.3,10.4,0.2,7.6,81.1,4708,295350374,62733.7
BaBaLa TV,3970000,470395332,356,UUZ5aOEWFOopXLeiIUd2mfJw,11152,1321335,5,6096,101.6,1.7,949934,72072,4614,923,189987,14414,1219.2,20.3,0.3,15.6,13.2,351,469445398,1337451.3
CNN TÜRK,1500000,1572284113,50592,UUV6zcRug6Hqp1UX_FdyUeBg,30,31078,2438,3388806,56479.9,941.4,76842958,608412,141082,58,31519,250,1390,23.2,0.4,4.3,126.3,48154,1495441155,31055.4
Cüneyt Özdemir,1480000,421400346,4738,UUkwHQ7DWv9aqEtvAOSO74dQ,312,88941,356,609022,10150.3,169.6,38785815,761719,48740,137,108949,2140,1710.7,28.5,0.5,15.6,50.9,4382,382614531,87315
Erk Acarer,168000,18520109,307,UUVsnWUJoznC1KlRbqa7C03g,547,60326,31,53291,888.2,14.8,2225360,144415,8962,289,71786,4659,1719.1,28.7,0.5,16.1,15.4,276,16294749,59038.9
FOX Haber,669000,338523932,28359,UUbq0bGdShXK5dMzEDU7nThA,24,11937,703,1452519,24208.6,403.6,16913850,179040,38449,55,24060,255,2066.2,34.4,0.6,4.7,94.5,27656,321610082,11628.9
Habertürk,233000,179574900,9191,UUlGZC_r-sUcBdElAtDSrQ5g,25,19538,144,135175,2252.9,37.6,6562506,32226,4746,33,45573,224,938.7,15.6,0.3,6.8,203.6,9047,173012394,19123.7
Halktv,1240000,1070787120,66365,UUf_ResXZzE-o18zACUEmyvQ,19,16135,1396,3513650,58560.8,976.1,74799679,748524,178024,128,53581,536,2516.9,41.9,0.7,4.2,99.9,64969,995987441,15330.2
Nevşin Mengü,480000,100552898,972,UUrG27KDq7eW4YoEOYsalU9g,494,103449,68,188354,3139.3,52.4,8248901,412405,18149,267,121307,6065,2769.9,46.2,0.8,22.7,20,904,92303997,102106.2
SÖZCÜ Televizyonu,368000,28369044,870,UUOulx_rep5O4i9y6AyDqVvw,423,32608,871,1103350,18389.1,306.6,30573115,389143,101397,116,35101,447,1266.8,21.1,0.4,3.8,78.6,0,0,0
TRT Haber,898000,467472015,24536,UUBgTP2LOFVPmq15W-RH-WXA,37,19052,704,66932,1115.6,18.6,16124257,143301,21727,31,22904,204,95.1,1.6,0.0,6.6,112.5,23832,451347758,18938.7
TV100,1120000,809113302,30034,UUndsdUW_oPLqpQJY9J8oIRg,37,26940,1970,2761530,46025.6,766.8,56360306,494127,109902,56,28609,251,1401.8,23.4,0.4,4.5,114.1,28064,752752996,26822.7
Yeni Şafak,568000,402501642,2222,UUClO1RgRkaOcC9cLj-bLuEw,256,181144,110,51583,859.7,14.3,33863673,656476,49062,446,307852,5968,468.9,7.8,0.1,13.4,51.6,2112,368637969,174544.5
